trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-168.38151728184133,"{0: 8, 1: 3, 2: 4, 3: 4, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-159.61663287170623,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-92.85317187790797,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-83.03203106969023,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-237.5724560807964,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-71.4904778424394,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-75.6804630395644,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-57.57215846301675,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-119.60112175215825,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-223.81610570399482,"{0: 21, 1: 2, 2: 8, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-124.23961942232995,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-125.9222893721974,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,17,-9.776989678105926,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-11.970276230821792,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-107.7011249934147,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-101.56159712319182,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-149.22442415302768,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-44.24440902388964,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,7,-25.28826838625215,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,1,28.840794690426225,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,5,-106.07891283450193,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,-190.88078466992286,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",25,0,-184.80793101372132,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",20,0,-9.318959303059538,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-49.82576823589386,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-44.97191876445458,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",35,4,-153.39204016943842,"{0: 21, 1: 0, 2: 6, 3: 2, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",20,10,-15.121847623423697,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,14,-32.089093807706405,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,0,-109.13381043072243,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
