trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,violation state
1,False,"{'a': 0.7, 'e': 1.0}",20,0,-62.22665857721978,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0,"[('left', 'red', 'forward', None, None), ('right', 'red', None, None, 'right'), ('right', 'green', None, None, None), ('right', 'red', None, None, None), ('right', 'red', None, None, None), ('forward', 'red', None, 'right', 'left'), ('forward', 'green', 'right', None, 'left'), ('forward', 'green', None, None, 'left')]"
2,False,"{'a': 0.7, 'e': 0.70710678118654746}",20,0,-41.50285363949288,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0,"[('forward', 'green', None, 'left', 'forward'), ('left', 'red', None, None, None), ('left', 'green', 'right', None, None), ('right', 'red', 'left', 'left', 'right'), ('right', 'red', 'left', 'right', None), ('right', 'green', None, 'forward', 'forward'), ('right', 'red', None, 'forward', 'forward')]"
3,False,"{'a': 0.7, 'e': 0.57735026918962584}",20,0,-34.36377939338722,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0,"[('right', 'green', 'right', None, None), ('right', 'red', None, None, None), ('forward', 'red', None, None, None), ('forward', 'red', None, None, None)]"
4,False,"{'a': 0.7, 'e': 0.5}",25,0,-148.59300236949917,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0,"[('left', 'red', 'forward', 'forward', None), ('left', 'red', 'forward', None, None), ('right', 'red', 'forward', 'forward', None), ('forward', 'green', 'forward', None, 'left'), ('forward', 'green', None, None, 'left'), ('right', 'red', 'right', 'forward', 'left'), ('right', 'red', 'forward', 'right', 'left')]"
5,False,"{'a': 0.7, 'e': 0.44721359549995793}",20,0,-84.71239236676251,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0,"[('right', 'green', None, None, None), ('right', 'green', 'forward', None, 'right'), ('left', 'red', None, 'forward', None), ('right', 'red', 'left', None, 'forward')]"
6,False,"{'a': 0.7, 'e': 0.40824829046386307}",25,0,-38.89189057432386,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0,"[('left', 'green', 'right', 'right', 'forward'), ('left', 'red', None, None, 'forward'), ('right', 'green', None, 'left', None)]"
7,False,"{'a': 0.7, 'e': 0.3779644730092272}",20,0,-71.79602934411791,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0,"[('forward', 'red', None, None, None), ('forward', 'red', None, 'forward', None), ('left', 'red', 'forward', 'forward', 'right')]"
8,False,"{'a': 0.7, 'e': 0.35355339059327373}",25,0,-16.827986390042927,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0,"[('left', 'red', None, None, None), ('forward', 'red', 'left', None, 'left'), ('left', 'red', None, None, 'right'), ('left', 'green', None, 'forward', 'left'), ('left', 'red', 'forward', 'left', None)]"
9,False,"{'a': 0.7, 'e': 0.33333333333333331}",20,0,-102.0787856774894,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0,"[('forward', 'green', None, 'forward', None), ('right', 'red', None, None, 'forward'), ('right', 'red', None, 'right', None), ('forward', 'green', 'forward', None, 'forward'), ('forward', 'red', None, None, 'forward'), ('right', 'red', 'left', 'left', 'forward')]"
10,False,"{'a': 0.7, 'e': 0.31622776601683794}",30,0,20.019636531078998,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0,"[('forward', 'green', None, 'forward', 'forward'), ('right', 'green', None, None, None), ('right', 'green', 'forward', None, None)]"
11,False,"{'a': 0.7, 'e': 0.30151134457776363}",30,0,-19.54114162097802,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0,"[('forward', 'green', 'forward', 'left', 'left'), ('forward', 'green', None, None, None), ('left', 'red', None, 'right', None), ('left', 'red', 'right', None, None)]"
