trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-72.65898146,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
2,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-188.2747412,"{0: 9, 1: 1, 2: 5, 3: 3, 4: 2}",0
3,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-84.15909477,"{0: 17, 1: 7, 2: 5, 3: 1, 4: 0}",0
4,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-75.73738383,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-180.845649,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
6,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-29.85160249,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
7,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-185.0538627,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
8,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-124.8751789,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
9,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-63.95131665,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
10,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-51.99988545,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
11,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-67.364494,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
12,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-110.2510768,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
13,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-166.7270623,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
14,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-128.8694592,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
15,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-123.2805164,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
16,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-76.54484738,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
17,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-52.5179293,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
18,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-65.9172609,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
19,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-137.6371928,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
20,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-142.8545051,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
1,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-128.0205577,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
2,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-207.1296031,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
3,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-111.9293828,"{0: 10, 1: 4, 2: 2, 3: 4, 4: 0}",0
4,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-100.3355482,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-167.0364647,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
6,TRUE,"{'a': 0.5, 'e': 1.0}",30,0,-96.24695198,"{0: 18, 1: 2, 2: 9, 3: 1, 4: 0}",0
7,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-69.54611675,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,TRUE,"{'a': 0.5, 'e': 1.0}",20,3,-79.41265142,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
9,TRUE,"{'a': 0.5, 'e': 1.0}",20,7,-120.1919304,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 2}",1
10,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-140.9123671,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
